loss	total loss
Luciaan	
Luciaanse	
Lumpur	Kuala Lumpur
macabre	danse macabre
macabres	danses macabres
machina	deus ex machina
machte	bij machte
Magallanes	Straat Magallanes
Magellaan	
magnifici	rectores magnifici
magnificus	rector magnificus
Mahatma	
mais-	mais- en sojatreinen;mais- en zonnebloemvelden
Majesteits	
male	ten tweeden male;ten anderen male
managing	managing director
Mandeb	Bab el Mandeb
Mariaatje	
Marinees	
Martaban	Golf van Martaban
mary	bloody mary
masqué	bal masqué
masqués	bal masqués;bals masqués
masse	en masse
Matapan	
mates	running mates
Mazurisch	
mea	mea culpa
Meern	De Meern
meeuwen-	meeuwen- en scholeksterpopulaties;meeuwen- en papegaaiduikersrotsen
meiherdenking	4 meiherdenking
meiviering	5 meiviering
mellitus	diabetes mellitus
Melville	
memoriam	in memoriam
Merenplateau	Mazurisch Merenplateau;Pommers Merenplateau
mer	fruits de mer;mer à boire
metal	heavy metal
meterbad	25 meterbad;50 meterbad
meterbaden	25 meterbaden;50 meterbaden
metergebied	16 metergebied
M.G.	Annie M.G. Schmidt
mia	mamma mia
Midden-Atlantische	
Midden-Siberisch	
middle	middle class
mina	dolle mina
mina's	dolle mina's
Minhstad	Ho Chi Minhstad
minute	last minute
Miquelon	Saint-Pierre en Miquelon
mitswa	bar mitswa
mobilia	perpetua mobilia
modo	grosso modo
Monroe	
Mont	
Moresby	
morgana	fata morgana
mortale	salto mortale
mortale's	salto mortale's
mortales	salto mortales
mortis	rigor mortis
moskee-	moskee- dan wel kerkbezoek;moskee- of synagogebezoek
Moslim-Kroatische	
motion	slow motion
Mount	
mouton	pied de mouton;pieds de mouton
muggen-	muggen- en vliegenlarven;muggen- en wespensteken
mum	in een mum van tijd
music	minimal music
mutandis	mutatis mutandis
mutatis	mutatis mutandis
nachte	bij nachte
najaars-	najaars- en  wintercollectie;najaars- en voorjaarscursussen
nano-	nano-, bio- en informatietechnologieën;micro-, nano- en opto-elektronische
napoletano	mastino napoletano
napoletano's	mastino napoletano's
Nares	Straat Nares
nascendi	in statu nascendi
natalis	dies natalis
natura	in natura
nature	van nature
neo-	neo-liberalisme;neo-nazi's
ne	rien ne va plus;ne bis in idem
nervosa	anorexia nervosa;boulimia nervosa
Neusiedler	Neusiedler Meer
neus-	neus- en keelholte;keel-, neus- en oorarts
Nevis	Saint Kitts en Nevis
New	New Hampshire
niçoise	salade niçoise;Niçoise
niet-	niet- of laaggeletterd;niet- en spijkergaten
Nieuwkruisland	
Nieuw-Siberische	
noir	film noir;café noir
noirs	films noirs;cafés noirs
nolens	nolens volens
nom	nom de plume;nom de guerre
no	no cure;no pay
Noord-Equatoriale	
Noord-Tiroler	
nouveau	art nouveau
nouveaux	nouveaux riches
novels	graphic novels;gothic novels
Nubische	
numerus	numerus fixus;numerus clausus
nunc	hic et nunc;ex nunc
Obeid	
oblige	noblesse oblige
obscura	camera obscura
Ochotsk	Zee van Ochotsk
ochtends	's ochtends
ofte	nooit ofte nimmer
Oldenbarnevelt	
om-	om- of bijscholing
onderscheids	des onderscheids
onheils	plaats des onheils;dag des onheils
onov.	onov. ww.
onpas	te pas en te onpas
onrechte	ten onrechte
onzentwege	van onzentwege
Oost-Pacifische	
Oost-Siberische	
opinio	communis opinio
opinion	second opinion
opleidings-	opleidings- en erkenningseisen;opleidings- en examenreglement
-opslag	CO2-opslag;CO₂-opslag
oratio	oratio pro domo
orbi	urbi et orbi
Orwell	
Ossip	
Otranto	
ouderschaps-	ouderschaps- en levensloopverlof;ouderschaps- en zorgverlof
Oud-	Oud- en Nieuwjaar;Oud- en Nieuw-Vossemeer
oudsher	van oudsher
outs	ins en outs
overvloede	ten overvloede
Pacifisch-Antarctisch	
paleize	ten paleize
Palk	
pampus	voor pampus
pangang	babi pangang;ajam pangang
paribus	ceteris paribus
paso	paso doble;paso dobles
passionnel	crime passionnel
patates	patates frites
Paulowna	
pay	no pay
peau	peau de pêche
pêche	pêche melba;peau de pêche
pectoris	angina pectoris
Pelagische	
Penninisch	
perdue	cire perdue
perpetua	perpetua mobilia
perpetuum	perpetuum mobile
perse	ter perse
persona	persona non grata
personeels-	personeels- en organisatiebeleid;personeels- en cliëntgegevens
Petalia	
petalia	trapezites petalia
petit	petit restaurant
petto	in petto
pico	pico bello
pièce	pièce de résistance
Pieterszoon	
Pilatus	
pina	pina colada
Pinte	
plaatse	ter plaatse
places	of all places
plekke	ter plekke
